model_type,copy_X,fit_intercept,n_jobs,normalize,alpha,max_iter,positive,precompute,random_state,selection,tol,warm_start,solver,l1_ratio,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,oob_score,verbose,init,learning_rate,loss,n_iter_no_change,presort,subsample,validation_fraction,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights
LinearRegression,True,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,0.5,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,5.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,50.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,500.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,0.1,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,0.5,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,1.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,5.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,10.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,50.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,100.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,500.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,True,True,,False,1000.0,,,,,,0.001,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,0.1,1000.0,False,False,,cyclic,0.0001,False,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1.0,1000.0,False,False,,cyclic,0.0001,False,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,10.0,1000.0,False,False,,cyclic,0.0001,False,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,100.0,1000.0,False,False,,cyclic,0.0001,False,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNet,True,True,,False,1000.0,1000.0,False,False,,cyclic,0.0001,False,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,,auto,,,0.0,,1.0,2.0,0.0,100.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,,auto,,,0.0,,1.0,2.0,0.0,500.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,,log2,,,0.0,,1.0,2.0,0.0,100.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,,log2,,,0.0,,1.0,2.0,0.0,500.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,100.0,auto,,,0.0,,1.0,2.0,0.0,100.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,100.0,auto,,,0.0,,1.0,2.0,0.0,500.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,100.0,log2,,,0.0,,1.0,2.0,0.0,100.0,False,0.0,,,,,,,,,,,,,,
RandomForestRegressor,,,,,,,,,,,,False,,,True,0.0,mse,100.0,log2,,,0.0,,1.0,2.0,0.0,500.0,False,0.0,,,,,,,,,,,,,,
GradientBoostingRegressor,,,,,0.9,,,,,,0.0001,False,,,,0.0,friedman_mse,3.0,,,,0.0,,1.0,2.0,0.0,100.0,,0.0,,0.1,ls,,deprecated,1.0,0.1,,,,,,,
GradientBoostingRegressor,,,,,0.9,,,,,,0.0001,False,,,,0.0,friedman_mse,3.0,,,,0.0,,1.0,4.0,0.0,100.0,,0.0,,0.1,ls,,deprecated,1.0,0.1,,,,,,,
GradientBoostingRegressor,,,,,0.9,,,,,,0.0001,False,,,,0.0,friedman_mse,3.0,,,,0.0,,1.0,2.0,0.0,100.0,,0.0,,0.3,ls,,deprecated,1.0,0.1,,,,,,,
GradientBoostingRegressor,,,,,0.9,,,,,,0.0001,False,,,,0.0,friedman_mse,3.0,,,,0.0,,1.0,4.0,0.0,100.0,,0.0,,0.3,ls,,deprecated,1.0,0.1,,,,,,,
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,3.0,2.0,uniform
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,3.0,2.0,distance
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,5.0,2.0,uniform
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,5.0,2.0,distance
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,7.0,2.0,uniform
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,7.0,2.0,distance
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,11.0,2.0,uniform
KNeighborsRegressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,30.0,minkowski,,11.0,2.0,distance
